Tender ID,Name,Customer,Stage,Status,inserted Time,Inserted User ID
GEM_2024_B_5395367,"Fiber Media converter,HDMI Cable,Networking / Server Rack",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,12-10-2024 05:14:10,GEM BOT
GEM_2024_B_5396421,DIGITAL CAMERA,Ministry of Defence Department of Defence Production,rejected,New-Corrigendum,16-09-2024 13:09:29,GEM BOT
GEM_2024_B_5398784,"4 MP IP Camera Bullet,IP Based Domme Camera,16 Channel NVR,8 Channel NVR,Cat 6 Cable,hard Disk 8 TB",Ministry of Defence Department of Military Affairs,rejected,,09-11-2024 05:02:58,GEM BOT
GEM_2024_B_5398967,Unmanned Aerial Vehicle & Payload Systems for Surveillance,Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,14-10-2024 13:10:49,GEM BOT
GEM_2024_B_5402404,Unmanned Aerial Vehicle & Payload Systems for Surveillance,Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,12-10-2024 05:16:03,GEM BOT
GEM_2024_B_5402920,"Motherboard for Desktop,Cable network tester",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,03-10-2024 14:39:11,GEM BOT
GEM_2024_B_5402951,"Desktop Computers,Layer 2 Access Switch (V2),Server,Cat - 6 UTP Ethernet Cable for Wifi Indoor use ",Ministry of Defence Department of Military Affairs,approved,Not Submitted,03-10-2024 15:35:11,GEM BOT
GEM_2024_B_5403272,AMC of Integrated Security and Surveillance System - CCTV SURVEILLANCE SYSTEMS; Comprehensive; Hard,Ministry of Defence Department of Military Affairs,rejected,,14-11-2024 05:30:09,GEM BOT
GEM_2024_B_5404242,"LiDAR,Depth Camera,Processing Unit,HMI System,IMU System including GNSS Reception,Battery Packs,Sof",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,08-10-2024 05:09:52,GEM BOT
GEM_2024_B_5405261,Unmanned Aerial Vehicle & Payload Systems for Surveillance,Information Technology Department Uttarakhand,rejected,,13-11-2024 05:06:41,GEM BOT
GEM_2024_B_5405615,PROVISIONING OF CCTV SURVEILLANCE SYSTEM AT CG PROJECT TEAM (TIMBER POND),Ministry of Defence Department of Defence,rejected,,06-11-2024 13:11:06,GEM BOT
GEM_2024_B_5406055,"Switch Fuse Unit,Switch Fuse Unit,Switch Fuse Unit,Switch Fuse Unit,Switch Fuse Unit",Ministry of Power BHARATIYA RAIL BIJLEE Company Limited,rejected,New-Corrigendum,08-10-2024 05:45:47,GEM BOT
GEM_2024_B_5407131,Vector Network Analyser,Ministry of Defence Department of Defence Production,rejected,New-Corrigendum,25-09-2024 09:50:48,GEM BOT
GEM_2024_B_5410016,Customized AMC/CMC for Pre-owned Products - DESKTOP LAPTOP PRINTERS UPS SCANNERS NETWORK SWITCH SER,Ministry of Civil Aviation Airports Authority of India (AAI),rejected,New-Corrigendum,25-09-2024 10:08:18,GEM BOT
GEM_2024_B_5411136,"Hiring of Professionals for Cloud, Network and Security - IT Manager; As per Tender Document; As pe",Ministry of Labour and Employment NA,rejected,,09-11-2024 13:10:15,GEM BOT
GEM_2024_B_5411613,Layer 3 - Access Switch,Ministry of Defence Department of Military Affairs,rejected,,13-11-2024 13:26:36,GEM BOT
GEM_2024_B_5413844,"Piano Type Non Modular Electrical Switch Socket Combination as per IS 3854 and IS 1293,Plug and Soc",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,21-10-2024 13:15:53,GEM BOT
