tender_id,name_of_work,customer,inserted_time,inserted_user_id,verification_1,done
2024_CEOUK_67178_1,e Tender for CCTV camera services for General Election 2024 in District Haridwar,Chief Electoral Officer Uttarakhand||Addl. Chief Electoral Officer||Dy. Chief Electoral Officer||Assistant District Election Officer Haridwar,04-01-2024 09:00:20,UKtenders GOV NICGEP BOT,rejected,Open
2024_CEOUK_67281_1,CCTV cameras at various places during the election process,Chief Electoral Officer Uttarakhand||Addl. Chief Electoral Officer||Dy. Chief Electoral Officer||Assistant District Election Officer Almora,11-01-2024 09:00:07,UKtenders GOV NICGEP BOT,approved,Not Submitted
2024_CEOUK_67422_1,Supply and Installation of CCTV Camara,Chief Electoral Officer Uttarakhand||Addl. Chief Electoral Officer||Dy. Chief Electoral Officer||Assistant District Election Officer Tehri Garhwal,10-01-2024 09:00:18,UKtenders GOV NICGEP BOT,rejected,Open
2024_CEOUK_67619_1,Supply and Installation of CCTV Camara at DEO Dehradun,Chief Electoral Officer Uttarakhand||Addl. Chief Electoral Officer||Dy. Chief Electoral Officer||Assistant District Election Officer Dehradun,13-01-2024 09:00:15,UKtenders GOV NICGEP BOT,rejected,Open
2024_CEPW_116286_1,JAL_PTK ROAD TO DERA BABA SARWAN DASS JI BALLAN ALONG CANAL TO MANNAN TO NAUGAJA TO KISHANGARH_KARTARPUR ROAD ODR_31 INCLUDING 5 YEARS MAINTENANCE 1 YEAR DLP _ 4 Yrs MAINT FOR REPAIR HEAD 5054 RB_10 MAINTENANCE 3054 FOR THE Yrs 2023_24,CE-PWD(B and R)||Construction Circle No.1-Jalandhar||Construction Division No.2-Jalandhar,24-01-2024 08:10:47,PBTenders GOV NICGEP BOT,rejected,
2024_CEPWD_378376_1,Construction of Teen Shed in the land under Gram Panchayat near Devri Dham (Iron Work),PWD - CE AND AS||ACE - JODHPUR||SE-JODHPUR||EE-DIST-I,20-01-2024 03:51:18,Eproc Rajasthan GOV BOT,rejected,
2024_CEPWD_378418_1,RCC Drain Work at Ch. 1/200 to 1/800 (Construction of 4 Lane Road Mata ka Than to Nagaur Road Via Anganwa Surpura Km 0/0 to 9/400),PWD - CE AND AS||ACE - JODHPUR||SE-JODHPUR||EE-CITY-JODHPUR,21-01-2024 03:50:25,Eproc Rajasthan GOV BOT,rejected,
2024_CEPWD_378418_2,RCC Drain Work at Ch. 1/800 to 2/100 (Construction of 4 Lane Road Mata ka Than to Nagaur Road Via Anganwa Surpura Km 0/0 to 9/400),PWD - CE AND AS||ACE - JODHPUR||SE-JODHPUR||EE-CITY-JODHPUR,22-01-2024 03:50:23,Eproc Rajasthan GOV BOT,rejected,
2024_CEUAZ_883899_1,Renewal of Langarpur Link Road,"Chief Engineer PWD Azamgarh Zone,Azamgarh||S.E. Azamgarh Circle,PWD,Azamgarh||Provincial Division, PWD, Azamgarh",26-01-2024 09:01:57,Tendersodisha GOV BOT,rejected,
2024_CEUCZ_882822_12,Renewal of Pangi Kalan Link Road,"Chief Engineer PWD Central Zone,Lucknow||S.E. UPPWD Sitapur||Construction Division-1, Khiri",20-01-2024 05:13:48,Etenders UP NIC BOT,rejected,
