,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
29,GEM/2025/B/6421172,Acrobatic Drone,1,2025-07-05 18:34,2025-07-11 19:00,Ministry of Defence Department of Military Affairs,Acrobatic Drone
30,GEM/2025/B/6368454,Sky Pro 4K Drone Combo,2,2025-06-20 19:45,2025-07-11 20:00,Ministry of Defence Department of Military Affairs,Sky Pro 4K Drone Combo
31,GEM/2025/B/6368486,Component Set of First Person ...,5,2025-07-01 18:46,2025-07-11 20:00,Ministry of Defence Department of Military Affairs,Component Set of First Person View (FPV) 10 inch Drone
32,GEM/2025/B/6339790,"Counter Drone Gun System,02 Ba...",42,2025-06-30 20:11,2025-07-11 20:00,Ministry of Defence Department of Military Affairs,"Counter Drone Gun System,02 Batteries,Carrying Case,Basic tool set,Backpack pouch,Cables charger an"
35,GEM/2025/B/6430994,Tiny Whoop Nano Vayu Drone,5,2025-07-09 13:48,2025-07-11 21:00,Ministry of Defence Department of Military Affairs,Tiny Whoop Nano Vayu Drone
36,GEM/2025/B/6435608,7 Inch 300g Payload Drone,1,2025-07-09 20:37,2025-07-11 21:00,Ministry of Defence Department of Military Affairs,7 Inch 300g Payload Drone
39,GEM/2025/B/6370366,RF Analyzer Drone for undertak...,5,2025-06-21 14:43,2025-07-12 15:00,Ministry of Defence Department of Defence Production,RF Analyzer Drone for undertaking ElectroMagnetic mapping and RF measurement onboard Navel Platform
41,GEM/2025/B/6219799,"Thermal Drone (Quadcopter),Bud...",8,2025-06-21 15:52,2025-07-12 16:00,Ministry of Defence Department of Military Affairs,"Thermal Drone (Quadcopter),Buddy Drone (Quadcopter),Day Camera Drone (Quadcopter)"
42,GEM/2025/B/6429019,Traning Model For Tech Traning...,111,2025-07-08 17:36,2025-07-12 16:00,Ministry of Defence Department of Military Affairs,"Traning Model For Tech Traning Of Tps In Drone Warfare,Traning Quad Copter For Traning Of Tps On Dr"
43,GEM/2025/B/6407634,Plantation Service - Plantatio...,2,2025-07-02 16:28,2025-07-12 18:00,Forests and Environment Department Gujarat,"Plantation Service - Plantation in Valsad North Ranges using Drone in 1 Hectare,Plantation Service "
44,GEM/2025/B/6359578,"ESC for Drone 60K kit,Radio TX...",15,2025-06-18 19:53,2025-07-12 18:00,Ministry of Defence Department of Military Affairs,"ESC for Drone 60K kit,Radio TX RX system for Drone 60K kit,Drone frame 40k Kit,Motors for Drone 40k"
45,GEM/2025/B/6371288,Training models for tech train...,4,2025-06-21 20:07,2025-07-12 21:00,Ministry of Defence Department of Military Affairs,Training models for tech training of tps on drone warfare
46,GEM/2025/B/6421399,Swarm Drone Mini Set of 5 Bird...,5,2025-07-09 20:33,2025-07-12 21:00,Ministry of Defence Department of Military Affairs,"Swarm Drone Mini Set of 5 Birds,Battery,Battery Charger,Ground Control Station,Cover Cassing"
47,GEM/2025/B/6368886,Tactical Drone Simulator,1,2025-06-22 22:21,2025-07-14 10:00,Ministry of Defence Department of Military Affairs,Tactical Drone Simulator
48,GEM/2025/B/6321187,FPV BLAZE DRONE,2,2025-07-08 21:26,2025-07-14 10:00,Ministry of Defence Department of Military Affairs,FPV BLAZE DRONE
49,GEM/2025/B/6371395,FPV Drone Asy,1,2025-06-21 21:29,2025-07-14 11:00,Ministry of Defence Department of Military Affairs,FPV Drone Asy
50,GEM/2025/B/6371625,"Drone Controller,Software for ...",11,2025-06-22 11:11,2025-07-14 12:00,Ministry of Defence Department of Military Affairs,"Drone Controller,Software for Simulator,Accessories,Headset,Cable"
51,GEM/2025/B/6372950,"Practice Drone Frame,Motors fo...",20,2025-06-23 11:13,2025-07-14 12:00,Ministry of Defence Department of Military Affairs,"Practice Drone Frame,Motors for Practice Drone,Flight Controller ESC AIO Board for Practice Drone,R"
52,GEM/2025/B/6373284,"Analog FPV Goggles,Analog Vide...",8,2025-06-23 11:51,2025-07-14 12:00,Ministry of Defence Department of Military Affairs,"Analog FPV Goggles,Analog Video Transmitter and Antenna,Digital Camera and VTX for Practice Drone,S"
53,GEM/2025/B/6387400,"KAMIKAZE DRONE -FPV,BATTERY,BA...",20,2025-07-07 13:00,2025-07-14 13:00,Ministry of Defence Department of Military Affairs,"KAMIKAZE DRONE -FPV,BATTERY,BATTERY CHARGER,GROUND CONTROL STATION -GCS,COVERING OR CASING"
55,GEM/2025/B/6290484,ESTABLISHMENT OF 'I' LEVEL DRO...,1,2025-06-23 13:59,2025-07-14 15:00,Ministry of Defence Department of Military Affairs,ESTABLISHMENT OF 'I' LEVEL DRONE MAINTENANCE HUB
57,GEM/2025/B/6349007,ESTABLISHMENT OF VR SIMULATOR ...,1,2025-06-23 14:12,2025-07-14 15:00,Ministry of Defence Department of Military Affairs,ESTABLISHMENT OF VR SIMULATOR LAB FOR DRONE FLIGHT TRAINING
58,GEM/2025/B/6434489,BLAZE-RF FPV DRONE,1,2025-07-09 16:48,2025-07-14 17:00,Ministry of Defence Department of Military Affairs,BLAZE-RF FPV DRONE
