,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
25,GEM/2025/B/6083752,INTEGRATED SECURITY SURVEILLAN...,1,2025-03-24 18:10,2025-04-15 18:00,Urban Development & Housing Department Bihar,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Remote Video Monitoring, Monitor Operations, Thef"
26,GEM/2025/B/6044260,Unmanned Aerial Vehicle & Payl...,15,2025-03-12 20:56,2025-04-16 09:00,Ministry of Defence Department of Military Affairs,Unmanned Aerial Vehicle & Payload Systems for Surveillance
28,GEM/2025/B/6098256,AMC of Integrated Security and...,1,2025-03-29 13:18,2025-04-16 14:00,Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,AMC of Integrated Security and Surveillance System - comprehensive AMC for cctv; Comprehensive; Har
29,GEM/2025/B/6070049,Unmanned Aerial Vehicle & Payl...,4,2025-03-19 16:29,2025-04-16 16:00,Home Department Chhattisgarh,Unmanned Aerial Vehicle & Payload Systems for Surveillance
30,GEM/2025/B/6058360,INTEGRATED SECURITY SURVEILLAN...,1,2025-03-27 11:57,2025-04-16 16:00,Ministry of Defence Department of Military Affairs,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention, Facility/Asset Protection, Moni"
31,GEM/2025/B/6010402,Bullet Camera IP Based for CCT...,6276,2025-03-26 16:50,2025-04-16 17:00,Ministry of Home Affairs Central Armed Police Forces,"Bullet Camera IP Based for CCTV surveillance,NVR 8 Channel with 1 TB HDD,8 Port Copper switch for c"
32,GEM/2025/B/6086079,AMC of Integrated Security and...,1,2025-03-26 16:32,2025-04-16 17:00,Education Department Gujarat,"AMC of Integrated Security and Surveillance System - Remote Video Monitoring, CCTV AMC; Comprehensi"
33,GEM/2025/B/6047888,MINI REMOTELY PIOLATED AIRCRAF...,12,2025-03-26 19:55,2025-04-16 20:00,Ministry of Defence Department of Military Affairs,MINI REMOTELY PIOLATED AIRCRAFT SYSTEMS FOR HIGH ALTITUDE AREA (DAY & TI ENABLED) FOR SURVEILLANCE
34,GEM/2025/B/6049256,MINI REMOTELY PIOLATED AIRCRAF...,8,2025-03-26 20:00,2025-04-16 21:00,Ministry of Defence Department of Military Affairs,MINI REMOTELY PIOLATED AIRCRAFT SYSTEMS FOR HIGH ALTITUDE AREA (DAY & TI ENABLED) FOR SURVEILLANCE
36,GEM/2025/B/6118150,AMC of Integrated Security and...,1,2025-04-07 12:21,2025-04-17 12:00,Ministry of Agriculture and Farmers Welfare Department of Agriculture Cooperation and Farmers Welfare,AMC of Integrated Security and Surveillance System - CMC of LAN and Networking; Comprehensive; Hard
38,GEM/2025/B/6105404,INTEGRATED SECURITY SURVEILLAN...,1,2025-04-02 13:19,2025-04-17 14:00,Higher Education Department Uttar Pradesh,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention, Employee Safety; Recording Devi"
39,GEM/2025/B/6114349,INTEGRATED SECURITY SURVEILLAN...,1,2025-04-04 18:15,2025-04-17 19:00,Urban Development & Housing Department Bihar,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention, Remote Video Monitoring, Facili"
40,GEM/2025/B/6107423,INTEGRATED SECURITY SURVEILLAN...,14,2025-04-03 09:06,2025-04-18 09:00,Urban Development and Urban Housing Department Gujarat,INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - PROVIDING SUPPLYING INSTALLATION TESTING AND COMM
41,GEM/2025/B/6117440,INTEGRATED SECURITY SURVEILLAN...,1,2025-04-07 09:09,2025-04-18 10:00,Ministry of Defence Department of Military Affairs,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention, Remote Video Monitoring, Parkin"
42,GEM/2025/B/6064575,"Supply, installation and commi...",1,2025-03-19 10:26,2025-04-18 10:00,Ministry of Defence Department of Defence Research & Development,"Supply, installation and commissioining of CCTV surveillance system with 3 years AMC"
43,GEM/2025/B/6076348,INTEGRATED SECURITY SURVEILLAN...,1,2025-04-03 14:08,2025-04-18 14:00,Civil Aviation Department Gujarat,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Monitor Operations, Airport Surveillance; Recordi"
45,GEM/2025/B/5994907,PROCUREMENT AND INSTALLATION O...,1,2025-03-06 12:26,2025-04-18 15:00,Ministry of Defence Department of Military Affairs,PROCUREMENT AND INSTALLATION OF CCTV SURVEILLANCE SYSTEM
46,GEM/2025/B/6118572,AMC of Integrated Security and...,1,2025-04-08 15:41,2025-04-18 16:00,Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,"AMC of Integrated Security and Surveillance System - Theft Prevention, Remote Video Monitoring, Mon"
47,GEM/2025/B/6113487,INTEGRATED SECURITY SURVEILLAN...,1,2025-04-04 15:48,2025-04-18 16:00,Ministry of Finance Department of Financial Services,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention, Remote Video Monitoring, Facili"
48,GEM/2025/B/6120375,INTEGRATED SECURITY SURVEILLAN...,1,2025-04-08 16:59,2025-04-18 17:00,Vigilance Department Uttar Pradesh,INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention; Recording Devices; Maximum secu
49,GEM/2025/B/6111313,AMC of Integrated Security and...,1,2025-04-04 12:02,2025-04-19 10:00,Ministry of Defence Department of Military Affairs,AMC of Integrated Security and Surveillance System - Health Monitoring Solution for CCTV System; Co
50,GEM/2025/B/6126817,AMC of Integrated Security and...,24,2025-04-09 12:16,2025-04-19 13:00,Ministry of Corporate Affairs NA,AMC of Integrated Security and Surveillance System - Health Monitoring Solution for CCTV System; No
51,GEM/2025/B/6102216,Unmanned Aerial Vehicle & Payl...,1,2025-04-09 13:50,2025-04-19 14:00,Ministry of Defence Department of Military Affairs,Unmanned Aerial Vehicle & Payload Systems for Surveillance
52,GEM/2025/B/6127957,AMC of Integrated Security and...,1,2025-04-09 15:01,2025-04-19 15:00,Ministry of Electronics and Information Technology Department of Electronics and Information Technology,AMC of Integrated Security and Surveillance System - CAMC of Infrastructure (CCTV & Biometric); Com
53,GEM/2025/B/6106155,AMC of Integrated Security and...,1,2025-04-02 15:45,2025-04-19 16:00,Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,"AMC of Integrated Security and Surveillance System - Theft Prevention; Comprehensive; Hardware, Sof"
54,GEM/2025/B/6114049,INTEGRATED SECURITY SURVEILLAN...,1,2025-04-04 17:08,2025-04-19 17:00,Comptroller and Auditor General (CAG) of India NA,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention, Remote Video Monitoring, Facili"
55,GEM/2025/B/6129261,AMC of Integrated Security and...,1,2025-04-09 17:26,2025-04-19 18:00,Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,"AMC of Integrated Security and Surveillance System - Event Video Surveillance, Comprehensive AMC of"
56,GEM/2025/B/5962639,AMC of Integrated Security and...,1,2025-04-10 16:36,2025-04-21 09:00,Ministry of Defence Department of Military Affairs,AMC of Integrated Security and Surveillance System - Remote Video Monitoring; Comprehensive; Hardwa
57,GEM/2025/B/5965690,Surveillance Hard disk,12,2025-02-19 11:21,2025-04-21 09:00,Ministry of Education Department of Higher Education,Surveillance Hard disk
58,GEM/2025/B/6107988,Facility Management Services -...,1,2025-04-03 12:51,2025-04-21 14:00,PMO Department of Atomic Energy,"Facility Management Services - LumpSum Based - DFRP,RpG,IGCAR; Surveillance and maintenance of vari"
59,GEM/2025/B/6126779,AMC of Integrated Security and...,1,2025-04-09 15:26,2025-04-21 16:00,Ministry of Education Department of Higher Education,"AMC of Integrated Security and Surveillance System - Remote Video Monitoring, Event Video Surveilla"
61,GEM/2025/B/6134827,INTEGRATED SECURITY SURVEILLAN...,1,2025-04-11 18:21,2025-04-21 19:00,Urban Development & Housing Department Bihar,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention, Remote Video Monitoring, Facili"
